Price,Price Change,Price Percent Change,Open,Shares Outstanding,Beta,Rev. per Employee,EPS,Dividend,Average Volume,Day Range Low,Day Range High,Time
31.68,-0.025,-0.0008,31.76,1080000000.0,1.84,641.09,0.18,,69790000.0,30.98,31.88,2019-08-22 12:06:12.136145
31.69,-0.01,-0.0003,31.76,1080000000.0,1.84,641.09,0.18,,69790000.0,30.98,31.88,2019-08-22 12:06:34.086172
31.7,-0.005,-0.0002,31.76,1080000000.0,1.84,641.09,0.18,,69790000.0,30.98,31.88,2019-08-22 12:06:55.675194
31.68,-0.02,-0.0006,31.76,1080000000.0,1.84,641.09,0.18,,69790000.0,30.98,31.88,2019-08-22 12:07:17.307650
31.69,-0.01,-0.0003,31.76,1080000000.0,1.84,641.09,0.18,,69790000.0,30.98,31.88,2019-08-22 12:07:39.270244
31.69,-0.015,-0.0005,31.76,1080000000.0,1.84,641.09,0.18,,69790000.0,30.98,31.88,2019-08-22 12:08:00.990961
31.7,-0.005,-0.0002,31.76,1080000000.0,1.84,641.09,0.18,,69790000.0,30.98,31.88,2019-08-22 12:08:22.579551
31.7,-0.005,-0.0002,31.76,1080000000.0,1.84,641.09,0.18,,69790000.0,30.98,31.88,2019-08-22 12:08:44.058979
31.68,-0.02,-0.0006,31.76,1080000000.0,1.84,641.09,0.18,,69790000.0,30.98,31.88,2019-08-22 12:09:05.555855
31.68,-0.0175,-0.0006,31.76,1080000000.0,1.84,641.09,0.18,,69790000.0,30.98,31.88,2019-08-22 12:09:27.345340
31.67,-0.035,-0.0011,31.76,1080000000.0,1.84,641.09,0.18,,69790000.0,30.98,31.88,2019-08-22 12:09:48.840337
31.66,-0.0418,-0.0013,31.76,1080000000.0,1.84,641.09,0.18,,69790000.0,30.98,31.88,2019-08-22 12:10:10.733619
31.67,-0.0275,-0.0009,31.76,1080000000.0,1.84,641.09,0.18,,69790000.0,30.98,31.88,2019-08-22 12:10:31.920484
31.68,-0.025,-0.0008,31.76,1080000000.0,1.84,641.09,0.18,,69790000.0,30.98,31.88,2019-08-22 12:10:53.126558
31.68,-0.02,-0.0006,31.76,1080000000.0,1.84,641.09,0.18,,69790000.0,30.98,31.88,2019-08-22 12:11:14.972532
31.69,-0.015,-0.0005,31.76,1080000000.0,1.84,641.09,0.18,,69790000.0,30.98,31.88,2019-08-22 12:11:36.748227
31.7,-0.005,-0.0002,31.76,1080000000.0,1.84,641.09,0.18,,69790000.0,30.98,31.88,2019-08-22 12:11:58.565218
31.67,-0.03,-0.0009,31.76,1080000000.0,1.84,641.09,0.18,,69790000.0,30.98,31.88,2019-08-22 12:12:20.258906
31.68,-0.02,-0.0006,31.76,1080000000.0,1.84,641.09,0.18,,69790000.0,30.98,31.88,2019-08-22 12:12:41.776049
31.68,-0.0202,-0.0006,31.76,1080000000.0,1.84,641.09,0.18,,69790000.0,30.98,31.88,2019-08-22 12:13:03.198944
31.68,-0.0235,-0.0007000000000000001,31.76,1080000000.0,1.84,641.09,0.18,,69790000.0,30.98,31.88,2019-08-22 12:13:24.590357
31.67,-0.03,-0.0009,31.76,1080000000.0,1.84,641.09,0.18,,69790000.0,30.98,31.88,2019-08-22 12:13:47.798243
31.67,-0.03,-0.0009,31.76,1080000000.0,1.84,641.09,0.18,,69790000.0,30.98,31.88,2019-08-22 12:14:09.439980
31.69,-0.01,-0.0003,31.76,1080000000.0,1.84,641.09,0.18,,69790000.0,30.98,31.88,2019-08-22 12:14:30.978825
31.68,-0.0201,-0.0006,31.76,1080000000.0,1.84,641.09,0.18,,69790000.0,30.98,31.88,2019-08-22 12:14:53.079913
31.69,-0.0133,-0.0004,31.76,1080000000.0,1.84,641.09,0.18,,69790000.0,30.98,31.88,2019-08-22 12:15:14.323153
31.69,-0.015,-0.0005,31.76,1080000000.0,1.84,641.09,0.18,,69790000.0,30.98,31.88,2019-08-22 12:15:35.691317
31.69,-0.01,-0.0003,31.76,1080000000.0,1.84,641.09,0.18,,69790000.0,30.98,31.88,2019-08-22 12:15:57.187684
31.69,-0.01,-0.0003,31.76,1080000000.0,1.84,641.09,0.18,,69790000.0,30.98,31.88,2019-08-22 12:16:18.440620
31.68,-0.02,-0.0006,31.76,1080000000.0,1.84,641.09,0.18,,69790000.0,30.98,31.88,2019-08-22 12:16:39.494283
31.67,-0.03,-0.0009,31.76,1080000000.0,1.84,641.09,0.18,,69790000.0,30.98,31.88,2019-08-22 12:17:00.734845
31.67,-0.0268,-0.0008,31.76,1080000000.0,1.84,641.09,0.18,,69790000.0,30.98,31.88,2019-08-22 12:17:21.713156
31.68,-0.02,-0.0006,31.76,1080000000.0,1.84,641.09,0.18,,69790000.0,30.98,31.88,2019-08-22 12:17:43.446364
31.68,-0.025,-0.0008,31.76,1080000000.0,1.84,641.09,0.18,,69790000.0,30.98,31.88,2019-08-22 12:18:04.975422
31.68,-0.0242,-0.0008,31.76,1080000000.0,1.84,641.09,0.18,,69790000.0,30.98,31.88,2019-08-22 12:18:26.353221
31.68,-0.0235,-0.0007000000000000001,31.76,1080000000.0,1.84,641.09,0.18,,69790000.0,30.98,31.88,2019-08-22 12:18:47.398129
31.68,-0.0201,-0.0006,31.76,1080000000.0,1.84,641.09,0.18,,69790000.0,30.98,31.88,2019-08-22 12:19:08.595092
31.67,-0.03,-0.0009,31.76,1080000000.0,1.84,641.09,0.18,,69790000.0,30.98,31.88,2019-08-22 12:19:29.540727
31.66,-0.04,-0.0013,31.76,1080000000.0,1.84,641.09,0.18,,69790000.0,30.98,31.88,2019-08-22 12:19:50.709149
31.67,-0.0255,-0.0008,31.76,1080000000.0,1.84,641.09,0.18,,69790000.0,30.98,31.88,2019-08-22 12:20:11.817424
31.67,-0.035,-0.0011,31.76,1080000000.0,1.84,641.09,0.18,,69790000.0,30.98,31.88,2019-08-22 12:20:33.044677
31.66,-0.04,-0.0013,31.76,1080000000.0,1.84,641.09,0.18,,69790000.0,30.98,31.88,2019-08-22 12:20:54.288474
31.69,-0.01,-0.0003,31.76,1080000000.0,1.84,641.09,0.18,,69790000.0,30.98,31.88,2019-08-22 12:21:15.356961
31.7,0.0,0.0,31.76,1080000000.0,1.84,641.09,0.18,,69790000.0,30.98,31.88,2019-08-22 12:21:36.375207
31.71,0.005,0.0002,31.76,1080000000.0,1.84,641.09,0.18,,69790000.0,30.98,31.88,2019-08-22 12:21:57.233648
31.7,0.0,0.0,31.76,1080000000.0,1.84,641.09,0.18,,69790000.0,30.98,31.88,2019-08-22 12:22:18.735871
31.71,0.01,0.0003,31.76,1080000000.0,1.84,641.09,0.18,,69790000.0,30.98,31.88,2019-08-22 12:22:39.943291
31.71,0.01,0.0003,31.76,1080000000.0,1.84,641.09,0.18,,69790000.0,30.98,31.88,2019-08-22 12:23:01.101581
31.75,0.045,0.0014000000000000002,31.76,1080000000.0,1.84,641.09,0.18,,69790000.0,30.98,31.88,2019-08-22 12:23:22.418536
31.74,0.0427,0.0013,31.76,1080000000.0,1.84,641.09,0.18,,69790000.0,30.98,31.88,2019-08-22 12:23:43.716615
31.75,0.045,0.0014000000000000002,31.76,1080000000.0,1.84,641.09,0.18,,69790000.0,30.98,31.88,2019-08-22 12:24:05.141096
31.75,0.0531,0.0017,31.76,1080000000.0,1.84,641.09,0.18,,69790000.0,30.98,31.88,2019-08-22 12:24:26.728251
31.75,0.0501,0.0016,31.76,1080000000.0,1.84,641.09,0.18,,69790000.0,30.98,31.88,2019-08-22 12:24:47.618342
31.77,0.0672,0.0021,31.76,1080000000.0,1.84,641.09,0.18,,69790000.0,30.98,31.88,2019-08-22 12:25:09.225652
31.75,0.05,0.0016,31.76,1080000000.0,1.84,641.09,0.18,,69790000.0,30.98,31.88,2019-08-22 12:25:30.712006
31.76,0.06,0.0019,31.76,1080000000.0,1.84,641.09,0.18,,69790000.0,30.98,31.88,2019-08-22 12:25:51.976218
