Price,Price Change,Price Percent Change,Open,Shares Outstanding,Beta,Rev. per Employee,EPS,Dividend,Average Volume,Day Range Low,Day Range High,Time
29.54,-2.36,-0.07400000000000001,31.3,1080000000.0,1.84,641.09,0.18,,70150000.0,29.4,31.83,2019-08-26 08:30:16.885479
29.54,-2.36,-0.07400000000000001,31.3,1080000000.0,1.84,641.09,0.18,,70150000.0,29.4,31.83,2019-08-26 08:30:41.514691
30.24,0.7,0.0237,31.3,1080000000.0,1.84,641.09,0.18,,70150000.0,29.4,31.83,2019-08-26 08:31:03.960840
29.54,-2.36,-0.07400000000000001,30.31,1080000000.0,1.84,641.09,0.18,,70150000.0,30.09,30.32,2019-08-26 08:31:25.507939
30.21,0.67,0.0227,30.31,1080000000.0,1.84,641.09,0.18,,70150000.0,30.09,30.32,2019-08-26 08:31:47.061942
30.18,0.6449,0.0218,30.31,1080000000.0,1.84,641.09,0.18,,70150000.0,30.09,30.32,2019-08-26 08:32:08.433554
30.15,0.61,0.0206,30.31,1080000000.0,1.84,641.09,0.18,,70150000.0,30.09,30.32,2019-08-26 08:32:30.330854
30.16,0.62,0.021,30.31,1080000000.0,1.84,641.09,0.18,,70150000.0,30.09,30.32,2019-08-26 08:32:51.341040
30.16,0.62,0.021,30.31,1080000000.0,1.84,641.09,0.18,,70150000.0,30.09,30.32,2019-08-26 08:33:12.132817
30.16,0.62,0.021,30.31,1080000000.0,1.84,641.09,0.18,,70150000.0,30.09,30.32,2019-08-26 08:33:33.148113
30.06,0.52,0.0176,30.31,1080000000.0,1.84,641.09,0.18,,70150000.0,30.04,30.32,2019-08-26 08:33:54.264555
30.16,0.62,0.021,30.31,1080000000.0,1.84,641.09,0.18,,70150000.0,30.04,30.32,2019-08-26 08:34:14.710895
30.11,0.5699,0.0193,30.31,1080000000.0,1.84,641.09,0.18,,70150000.0,30.04,30.32,2019-08-26 08:34:35.535827
30.13,0.59,0.02,30.31,1080000000.0,1.84,641.09,0.18,,70150000.0,30.04,30.32,2019-08-26 08:34:57.402502
30.05,0.51,0.0173,30.31,1080000000.0,1.84,641.09,0.18,,70150000.0,30.04,30.32,2019-08-26 08:35:18.823879
30.02,0.4801,0.0163,30.31,1080000000.0,1.84,641.09,0.18,,70150000.0,30.01,30.32,2019-08-26 08:35:39.844475
29.99,0.4541,0.0154,30.31,1080000000.0,1.84,641.09,0.18,,70150000.0,29.94,30.32,2019-08-26 08:36:00.936938
30.07,0.53,0.0179,30.31,1080000000.0,1.84,641.09,0.18,,70150000.0,29.94,30.32,2019-08-26 08:36:22.156972
30.12,0.58,0.0196,30.31,1080000000.0,1.84,641.09,0.18,,70150000.0,29.94,30.32,2019-08-26 08:36:43.852033
30.17,0.63,0.0213,30.31,1080000000.0,1.84,641.09,0.18,,70150000.0,29.94,30.32,2019-08-26 08:37:06.734341
30.12,0.58,0.0196,30.31,1080000000.0,1.84,641.09,0.18,,70150000.0,29.94,30.32,2019-08-26 08:37:28.161276
30.09,0.5479999999999999,0.0186,30.31,1080000000.0,1.84,641.09,0.18,,70150000.0,29.94,30.32,2019-08-26 08:37:49.482825
30.1,0.56,0.019,30.31,1080000000.0,1.84,641.09,0.18,,70150000.0,29.94,30.32,2019-08-26 08:38:10.419797
30.12,0.58,0.0196,30.31,1080000000.0,1.84,641.09,0.18,,70150000.0,29.94,30.32,2019-08-26 08:38:32.062623
30.11,0.57,0.0193,30.31,1080000000.0,1.84,641.09,0.18,,70150000.0,29.94,30.32,2019-08-26 08:38:53.362963
30.13,0.59,0.02,30.31,1080000000.0,1.84,641.09,0.18,,70150000.0,29.94,30.32,2019-08-26 08:39:14.754716
30.13,0.59,0.02,30.31,1080000000.0,1.84,641.09,0.18,,70150000.0,29.94,30.32,2019-08-26 08:39:35.885590
30.12,0.58,0.0196,30.31,1080000000.0,1.84,641.09,0.18,,70150000.0,29.94,30.32,2019-08-26 08:39:56.917860
30.12,0.58,0.0196,30.31,1080000000.0,1.84,641.09,0.18,,70150000.0,29.94,30.32,2019-08-26 08:40:17.837622
30.15,0.6099,0.0206,30.31,1080000000.0,1.84,641.09,0.18,,70150000.0,29.94,30.32,2019-08-26 08:40:39.246135
30.13,0.5851,0.0198,30.31,1080000000.0,1.84,641.09,0.18,,70150000.0,29.94,30.32,2019-08-26 08:41:00.410980
30.18,0.64,0.0217,30.31,1080000000.0,1.84,641.09,0.18,,70150000.0,29.94,30.32,2019-08-26 08:41:21.222412
30.22,0.68,0.023,30.31,1080000000.0,1.84,641.09,0.18,,70150000.0,29.94,30.32,2019-08-26 08:41:42.329240
30.19,0.6501,0.022000000000000002,30.31,1080000000.0,1.84,641.09,0.18,,70150000.0,29.94,30.32,2019-08-26 08:42:03.624146
30.26,0.72,0.0244,30.31,1080000000.0,1.84,641.09,0.18,,70150000.0,29.94,30.32,2019-08-26 08:42:24.973079
30.26,0.718,0.0243,30.31,1080000000.0,1.84,641.09,0.18,,70150000.0,29.94,30.32,2019-08-26 08:42:45.988044
30.23,0.69,0.0234,30.31,1080000000.0,1.84,641.09,0.18,,70150000.0,29.94,30.32,2019-08-26 08:43:07.278638
