Price,Price Change,Price Percent Change,Open,Shares Outstanding,Beta,Rev. per Employee,EPS,Dividend,Average Volume,Day Range Low,Day Range High,Time
8.01,-1.02,-0.113,8.54,8720000000.0,0.96,429.74,-2.45,0.01,56730000.0,7.65,8.63,2019-08-16 08:30:17.348355
8.39,0.375,0.0468,8.41,8720000000.0,0.96,429.74,-2.45,0.01,56730000.0,8.38,8.43,2019-08-16 08:30:38.554594
8.4,0.385,0.0481,8.54,8720000000.0,0.96,429.74,-2.45,0.01,56730000.0,7.65,8.63,2019-08-16 08:30:59.407652
8.54,0.525,0.0655,8.41,8720000000.0,0.96,429.74,-2.45,0.01,56730000.0,8.37,8.67,2019-08-16 09:26:50.517143
8.53,0.5232,0.0653,8.41,8720000000.0,0.96,429.74,-2.45,0.01,56730000.0,8.37,8.67,2019-08-16 09:27:11.356946
8.54,0.53,0.0662,8.41,8720000000.0,0.96,429.74,-2.45,0.01,56730000.0,8.37,8.67,2019-08-16 09:27:32.376078
8.53,0.52,0.0649,8.41,8720000000.0,0.96,429.74,-2.45,0.01,56730000.0,8.37,8.67,2019-08-16 09:27:54.163634
8.53,0.52,0.0649,8.41,8720000000.0,0.96,429.74,-2.45,0.01,56730000.0,8.37,8.67,2019-08-16 09:28:16.460867
8.53,0.52,0.0649,8.41,8720000000.0,0.96,429.74,-2.45,0.01,56730000.0,8.37,8.67,2019-08-16 09:28:27.984742
8.52,0.51,0.0637,8.41,8720000000.0,0.96,429.74,-2.45,0.01,56730000.0,8.37,8.67,2019-08-16 09:28:48.733059
8.52,0.51,0.0637,8.41,8720000000.0,0.96,429.74,-2.45,0.01,56730000.0,8.37,8.67,2019-08-16 09:29:09.809090
8.5,0.49,0.0612,8.41,8720000000.0,0.96,429.74,-2.45,0.01,56730000.0,8.37,8.67,2019-08-16 09:29:30.978992
8.51,0.5018,0.0626,8.41,8720000000.0,0.96,429.74,-2.45,0.01,56730000.0,8.37,8.67,2019-08-16 09:29:51.673271
8.52,0.505,0.063,8.41,8720000000.0,0.96,429.74,-2.45,0.01,56730000.0,8.37,8.67,2019-08-16 09:30:13.133370
8.54,0.525,0.0655,8.41,8720000000.0,0.96,429.74,-2.45,0.01,56730000.0,8.37,8.67,2019-08-16 09:30:34.545919
8.54,0.525,0.0655,8.41,8720000000.0,0.96,429.74,-2.45,0.01,56730000.0,8.37,8.67,2019-08-16 09:30:55.751679
8.54,0.53,0.0662,8.41,8720000000.0,0.96,429.74,-2.45,0.01,56730000.0,8.37,8.67,2019-08-16 09:31:17.057656
8.54,0.53,0.0662,8.41,8720000000.0,0.96,429.74,-2.45,0.01,56730000.0,8.37,8.67,2019-08-16 09:31:38.346719
8.54,0.525,0.0655,8.41,8720000000.0,0.96,429.74,-2.45,0.01,56730000.0,8.37,8.67,2019-08-16 09:31:59.744096
8.54,0.53,0.0662,8.41,8720000000.0,0.96,429.74,-2.45,0.01,56730000.0,8.37,8.67,2019-08-16 09:32:20.658285
8.54,0.525,0.0655,8.41,8720000000.0,0.96,429.74,-2.45,0.01,56730000.0,8.37,8.67,2019-08-16 09:32:41.893199
8.53,0.52,0.0649,8.41,8720000000.0,0.96,429.74,-2.45,0.01,56730000.0,8.37,8.67,2019-08-16 09:33:03.816210
8.51,0.5,0.0624,8.41,8720000000.0,0.96,429.74,-2.45,0.01,56730000.0,8.37,8.67,2019-08-16 09:33:25.438570
8.52,0.505,0.063,8.41,8720000000.0,0.96,429.74,-2.45,0.01,56730000.0,8.37,8.67,2019-08-16 09:33:46.347675
8.5,0.49,0.0612,8.41,8720000000.0,0.96,429.74,-2.45,0.01,56730000.0,8.37,8.67,2019-08-16 09:34:07.354168
8.51,0.495,0.0618,8.41,8720000000.0,0.96,429.74,-2.45,0.01,56730000.0,8.37,8.67,2019-08-16 09:34:28.154706
8.51,0.495,0.0618,8.41,8720000000.0,0.96,429.74,-2.45,0.01,56730000.0,8.37,8.67,2019-08-16 09:34:49.135380
8.5,0.49,0.0612,8.41,8720000000.0,0.96,429.74,-2.45,0.01,56730000.0,8.37,8.67,2019-08-16 09:35:10.348556
8.5,0.49,0.0612,8.41,8720000000.0,0.96,429.74,-2.45,0.01,56730000.0,8.37,8.67,2019-08-16 09:35:31.041000
8.5,0.49,0.0612,8.41,8720000000.0,0.96,429.74,-2.45,0.01,56730000.0,8.37,8.67,2019-08-16 09:35:52.150691
8.49,0.4801,0.0599,8.41,8720000000.0,0.96,429.74,-2.45,0.01,56730000.0,8.37,8.67,2019-08-16 09:36:13.020116
8.5,0.485,0.0605,8.41,8720000000.0,0.96,429.74,-2.45,0.01,56730000.0,8.37,8.67,2019-08-16 09:36:33.736766
8.52,0.505,0.063,8.41,8720000000.0,0.96,429.74,-2.45,0.01,56730000.0,8.37,8.67,2019-08-16 09:36:54.723805
8.52,0.51,0.0637,8.41,8720000000.0,0.96,429.74,-2.45,0.01,56730000.0,8.37,8.67,2019-08-16 09:37:15.945830
8.57,0.5555,0.0694,8.41,8720000000.0,0.96,429.74,-2.45,0.01,56730000.0,8.37,8.67,2019-08-16 09:37:37.261417
8.51,0.5,0.0624,8.41,8720000000.0,0.96,429.74,-2.45,0.01,56730000.0,8.37,8.67,2019-08-16 09:37:58.372949
8.51,0.5001,0.0624,8.41,8720000000.0,0.96,429.74,-2.45,0.01,56730000.0,8.37,8.67,2019-08-16 09:38:19.454799
8.52,0.505,0.063,8.41,8720000000.0,0.96,429.74,-2.45,0.01,56730000.0,8.37,8.67,2019-08-16 09:38:40.476057
8.51,0.5001,0.0624,8.41,8720000000.0,0.96,429.74,-2.45,0.01,56730000.0,8.37,8.67,2019-08-16 09:39:07.046325
8.5,0.49,0.0612,8.41,8720000000.0,0.96,429.74,-2.45,0.01,56730000.0,8.37,8.67,2019-08-16 09:39:30.904094
8.51,0.495,0.0618,8.41,8720000000.0,0.96,429.74,-2.45,0.01,56730000.0,8.37,8.67,2019-08-16 09:39:51.816469
8.51,0.495,0.0618,8.41,8720000000.0,0.96,429.74,-2.45,0.01,56730000.0,8.37,8.67,2019-08-16 09:40:13.139997
8.51,0.5,0.0624,8.41,8720000000.0,0.96,429.74,-2.45,0.01,56730000.0,8.37,8.67,2019-08-16 09:40:34.131816
8.51,0.495,0.0618,8.41,8720000000.0,0.96,429.74,-2.45,0.01,56730000.0,8.37,8.67,2019-08-16 09:40:54.872781
8.47,0.4633,0.0578,8.41,8720000000.0,0.96,429.74,-2.45,0.01,56730000.0,8.37,8.67,2019-08-16 09:41:15.636246
8.45,0.44,0.0549,8.41,8720000000.0,0.96,429.74,-2.45,0.01,56730000.0,8.37,8.67,2019-08-16 09:41:36.553218
