Price,Price Change,Price Percent Change,Open,Shares Outstanding,Beta,Rev. per Employee,EPS,Dividend,Average Volume,Day Range Low,Day Range High,Time
294.68,3.2388,0.0111,295.0,437840000.0,1.52,2220000.0,2.55,,6840000.0,294.5,295.11,2019-08-26 08:30:16.004085
291.44,-5.49,-0.018500000000000003,295.0,437840000.0,1.52,2220000.0,2.55,,6840000.0,294.49,295.12,2019-08-26 08:30:40.525687
294.19,2.745,0.0094,295.0,437840000.0,1.52,2220000.0,2.55,,6840000.0,294.08,295.12,2019-08-26 08:31:02.705159
291.44,-5.49,-0.018500000000000003,295.0,437840000.0,1.52,2220000.0,2.55,,6840000.0,290.32,299.01,2019-08-26 08:31:24.585347
295.0,3.56,0.0122,295.0,437840000.0,1.52,2220000.0,2.55,,6840000.0,293.64,295.12,2019-08-26 08:31:45.909503
295.0,3.56,0.0122,295.0,437840000.0,1.52,2220000.0,2.55,,6840000.0,293.64,295.12,2019-08-26 08:32:07.516219
295.0,3.5580000000000003,0.0122,295.0,437840000.0,1.52,2220000.0,2.55,,6840000.0,293.64,295.12,2019-08-26 08:32:29.295167
294.98,3.54,0.0121,295.0,437840000.0,1.52,2220000.0,2.55,,6840000.0,293.64,295.13,2019-08-26 08:32:50.408225
295.0,3.56,0.0122,295.0,437840000.0,1.52,2220000.0,2.55,,6840000.0,293.64,295.17,2019-08-26 08:33:11.194889
295.0,3.56,0.0122,295.0,437840000.0,1.52,2220000.0,2.55,,6840000.0,293.64,295.4,2019-08-26 08:33:32.131742
294.86,3.42,0.0117,295.0,437840000.0,1.52,2220000.0,2.55,,6840000.0,293.64,295.4,2019-08-26 08:33:53.208911
295.05,3.6102,0.0124,295.0,437840000.0,1.52,2220000.0,2.55,,6840000.0,293.64,295.4,2019-08-26 08:34:13.883628
294.92,3.475,0.0119,295.0,437840000.0,1.52,2220000.0,2.55,,6840000.0,293.64,295.4,2019-08-26 08:34:34.477991
294.87,3.4276,0.0118,295.0,437840000.0,1.52,2220000.0,2.55,,6840000.0,293.64,295.4,2019-08-26 08:34:56.373675
294.94,3.5,0.012,295.0,437840000.0,1.52,2220000.0,2.55,,6840000.0,293.64,295.4,2019-08-26 08:35:17.881053
294.8,3.355,0.0115,295.0,437840000.0,1.52,2220000.0,2.55,,6840000.0,293.64,295.4,2019-08-26 08:35:39.001980
294.9,3.46,0.0119,295.0,437840000.0,1.52,2220000.0,2.55,,6840000.0,293.64,295.4,2019-08-26 08:35:59.956748
295.2,3.76,0.0129,295.0,437840000.0,1.52,2220000.0,2.55,,6840000.0,293.64,295.4,2019-08-26 08:36:21.030068
295.0,3.56,0.0122,295.0,437840000.0,1.52,2220000.0,2.55,,6840000.0,293.64,295.4,2019-08-26 08:36:42.820165
295.22,3.7843,0.013000000000000001,295.0,437840000.0,1.52,2220000.0,2.55,,6840000.0,293.64,295.5,2019-08-26 08:37:03.736534
294.58,3.14,0.0108,295.0,437840000.0,1.52,2220000.0,2.55,,6840000.0,293.64,295.5,2019-08-26 08:37:27.075830
