Price,Price Change,Price Percent Change,Open,Shares Outstanding,Beta,Rev. per Employee,EPS,Dividend,Average Volume,Day Range Low,Day Range High,Time
295.76,-3.35,-0.011200000000000002,299.5,437840000.0,1.52,2220000.0,2.55,,6770000.0,288.0,300.63,2019-08-16 08:30:15.369294
295.76,-3.35,-0.011200000000000002,299.5,437840000.0,1.52,2220000.0,2.55,,6770000.0,288.0,300.63,2019-08-16 08:30:36.575800
295.76,-3.35,-0.011200000000000002,298.86,437840000.0,1.52,2220000.0,2.55,,6770000.0,298.5,299.25,2019-08-16 08:30:57.497230
300.66,4.9,0.0166,298.86,437840000.0,1.52,2220000.0,2.55,,6770000.0,296.27,300.69,2019-08-16 09:26:48.638249
300.74,4.975,0.0168,298.86,437840000.0,1.52,2220000.0,2.55,,6770000.0,296.27,300.84,2019-08-16 09:27:09.593053
300.65,4.8892,0.0165,298.86,437840000.0,1.52,2220000.0,2.55,,6770000.0,296.27,300.84,2019-08-16 09:27:30.150621
300.65,4.89,0.0165,298.86,437840000.0,1.52,2220000.0,2.55,,6770000.0,296.27,300.84,2019-08-16 09:27:51.434472
300.58,4.8162,0.0163,298.86,437840000.0,1.52,2220000.0,2.55,,6770000.0,296.27,300.84,2019-08-16 09:28:14.308240
300.61,4.85,0.016399999999999998,298.86,437840000.0,1.52,2220000.0,2.55,,6770000.0,296.27,300.84,2019-08-16 09:28:26.193294
300.51,4.75,0.0161,298.86,437840000.0,1.52,2220000.0,2.55,,6770000.0,296.27,300.84,2019-08-16 09:28:46.890630
300.35,4.5943,0.0155,298.86,437840000.0,1.52,2220000.0,2.55,,6770000.0,296.27,300.84,2019-08-16 09:29:07.806019
300.55,4.79,0.016200000000000003,298.86,437840000.0,1.52,2220000.0,2.55,,6770000.0,296.27,300.84,2019-08-16 09:29:28.986240
300.58,4.82,0.0163,298.86,437840000.0,1.52,2220000.0,2.55,,6770000.0,296.27,300.84,2019-08-16 09:29:49.839825
300.61,4.85,0.016399999999999998,298.86,437840000.0,1.52,2220000.0,2.55,,6770000.0,296.27,300.84,2019-08-16 09:30:11.187320
300.64,4.88,0.0165,298.86,437840000.0,1.52,2220000.0,2.55,,6770000.0,296.27,300.84,2019-08-16 09:30:32.566896
