Price,Price Change,Price Percent Change,Open,Shares Outstanding,Beta,Rev. per Employee,EPS,Dividend,Average Volume,Day Range Low,Day Range High,Time
8.27,0.11,0.013500000000000002,8.18,8720000000.0,0.97,429.74,-2.45,0.01,62020000.0,8.11,8.31,2019-08-22 12:06:13.073875
8.28,0.12,0.0147,8.18,8720000000.0,0.97,429.74,-2.45,0.01,62020000.0,8.11,8.31,2019-08-22 12:06:35.210618
8.29,0.125,0.0153,8.18,8720000000.0,0.97,429.74,-2.45,0.01,62020000.0,8.11,8.31,2019-08-22 12:06:56.785327
8.29,0.125,0.0153,8.18,8720000000.0,0.97,429.74,-2.45,0.01,62020000.0,8.11,8.31,2019-08-22 12:07:18.392553
8.29,0.125,0.0153,8.18,8720000000.0,0.97,429.74,-2.45,0.01,62020000.0,8.11,8.31,2019-08-22 12:07:40.239141
8.29,0.13,0.0159,8.18,8720000000.0,0.97,429.74,-2.45,0.01,62020000.0,8.11,8.31,2019-08-22 12:08:02.021667
8.29,0.13,0.0159,8.18,8720000000.0,0.97,429.74,-2.45,0.01,62020000.0,8.11,8.31,2019-08-22 12:08:23.895867
8.29,0.13,0.0159,8.18,8720000000.0,0.97,429.74,-2.45,0.01,62020000.0,8.11,8.31,2019-08-22 12:08:45.116528
8.29,0.125,0.0153,8.18,8720000000.0,0.97,429.74,-2.45,0.01,62020000.0,8.11,8.31,2019-08-22 12:09:06.559633
8.29,0.125,0.0153,8.18,8720000000.0,0.97,429.74,-2.45,0.01,62020000.0,8.11,8.31,2019-08-22 12:09:28.349470
8.28,0.12,0.0147,8.18,8720000000.0,0.97,429.74,-2.45,0.01,62020000.0,8.11,8.31,2019-08-22 12:09:50.014897
8.28,0.115,0.0141,8.18,8720000000.0,0.97,429.74,-2.45,0.01,62020000.0,8.11,8.31,2019-08-22 12:10:11.712809
8.27,0.1111,0.0136,8.18,8720000000.0,0.97,429.74,-2.45,0.01,62020000.0,8.11,8.31,2019-08-22 12:10:32.964516
8.27,0.1135,0.0139,8.18,8720000000.0,0.97,429.74,-2.45,0.01,62020000.0,8.11,8.31,2019-08-22 12:10:54.336890
8.27,0.1112,0.0136,8.18,8720000000.0,0.97,429.74,-2.45,0.01,62020000.0,8.11,8.31,2019-08-22 12:11:16.300350
8.26,0.1,0.0123,8.18,8720000000.0,0.97,429.74,-2.45,0.01,62020000.0,8.11,8.31,2019-08-22 12:11:38.014653
8.26,0.1,0.0123,8.18,8720000000.0,0.97,429.74,-2.45,0.01,62020000.0,8.11,8.31,2019-08-22 12:11:59.464535
8.26,0.1,0.0123,8.18,8720000000.0,0.97,429.74,-2.45,0.01,62020000.0,8.11,8.31,2019-08-22 12:12:21.170077
8.26,0.1,0.0123,8.18,8720000000.0,0.97,429.74,-2.45,0.01,62020000.0,8.11,8.31,2019-08-22 12:12:42.984361
8.26,0.1,0.0123,8.18,8720000000.0,0.97,429.74,-2.45,0.01,62020000.0,8.11,8.31,2019-08-22 12:13:04.151866
