Price,Price Change,Price Percent Change,Open,Shares Outstanding,Beta,Rev. per Employee,EPS,Dividend,Average Volume,Day Range Low,Day Range High,Time
296.78,5.01,0.0172,295.0,437840000.0,1.52,2220000.0,2.55,,6920000.0,294.99,299.93,2019-08-30 08:30:16.282575
296.78,5.01,0.0172,295.0,437840000.0,1.52,2220000.0,2.55,,6920000.0,294.99,299.93,2019-08-30 08:30:38.095720
296.78,5.01,0.0172,295.0,437840000.0,1.52,2220000.0,2.55,,6920000.0,294.99,299.93,2019-08-30 08:31:00.792464
297.13,0.35,0.0012,298.78,437840000.0,1.52,2220000.0,2.55,,6920000.0,297.13,298.78,2019-08-30 08:31:28.814548
296.53,-0.25,-0.0008,298.78,437840000.0,1.52,2220000.0,2.55,,6920000.0,296.51,298.78,2019-08-30 08:32:01.475521
297.4,0.62,0.0021,298.78,437840000.0,1.52,2220000.0,2.55,,6920000.0,296.5,298.78,2019-08-30 08:32:24.332614
297.12,0.34,0.0011,298.78,437840000.0,1.52,2220000.0,2.55,,6920000.0,296.5,298.78,2019-08-30 08:32:46.711231
296.69,-0.09,-0.0003,298.78,437840000.0,1.52,2220000.0,2.55,,6920000.0,296.5,298.78,2019-08-30 08:33:08.516848
296.8,0.02,0.0001,298.78,437840000.0,1.52,2220000.0,2.55,,6920000.0,296.5,298.78,2019-08-30 08:33:30.545675
296.49,-0.29,-0.001,298.78,437840000.0,1.52,2220000.0,2.55,,6920000.0,296.45,298.78,2019-08-30 08:33:52.340739
296.48,-0.2958,-0.001,298.78,437840000.0,1.52,2220000.0,2.55,,6920000.0,296.41,298.78,2019-08-30 08:34:14.588985
296.43,-0.355,-0.0012,298.78,437840000.0,1.52,2220000.0,2.55,,6920000.0,296.33,298.78,2019-08-30 08:34:37.143703
296.55,-0.23,-0.0008,298.78,437840000.0,1.52,2220000.0,2.55,,6920000.0,296.33,298.78,2019-08-30 08:34:58.828882
296.41,-0.37,-0.0012,298.78,437840000.0,1.52,2220000.0,2.55,,6920000.0,296.33,298.78,2019-08-30 08:35:20.409833
