Price,Price Change,Price Percent Change,Open,Shares Outstanding,Beta,Rev. per Employee,EPS,Dividend,Average Volume,Day Range Low,Day Range High,Time
30.9,-0.58,-0.0184,32.0,1080000000.0,1.83,641.09,0.18,,70190000.0,31.42,32.19,2019-08-20 08:30:08.191789
31.48,0.3,0.0096,32.0,1080000000.0,1.83,641.09,0.18,,70190000.0,31.42,32.19,2019-08-20 08:30:30.557045
31.48,0.3,0.0096,30.93,1080000000.0,1.83,641.09,0.18,,70190000.0,30.77,30.93,2019-08-20 08:30:52.296766
30.81,-0.67,-0.0213,30.93,1080000000.0,1.83,641.09,0.18,,70190000.0,30.77,30.93,2019-08-20 08:31:14.406272
30.81,-0.67,-0.0213,30.93,1080000000.0,1.83,641.09,0.18,,70190000.0,30.77,30.93,2019-08-20 08:31:36.692938
30.86,-0.62,-0.0197,30.93,1080000000.0,1.83,641.09,0.18,,70190000.0,30.77,30.93,2019-08-20 08:31:59.000771
30.87,-0.61,-0.0194,30.93,1080000000.0,1.83,641.09,0.18,,70190000.0,30.77,30.93,2019-08-20 08:32:21.991796
30.92,-0.5645,-0.0179,30.93,1080000000.0,1.83,641.09,0.18,,70190000.0,30.77,30.93,2019-08-20 08:32:43.492975
30.89,-0.59,-0.0187,30.93,1080000000.0,1.83,641.09,0.18,,70190000.0,30.77,30.94,2019-08-20 08:33:05.312891
30.71,-0.77,-0.0245,30.93,1080000000.0,1.83,641.09,0.18,,70190000.0,30.71,30.94,2019-08-20 08:33:27.182088
30.65,-0.8327,-0.0265,30.93,1080000000.0,1.83,641.09,0.18,,70190000.0,30.64,30.94,2019-08-20 08:33:49.182967
30.68,-0.8009,-0.0254,30.93,1080000000.0,1.83,641.09,0.18,,70190000.0,30.64,30.94,2019-08-20 08:34:11.681824
30.72,-0.765,-0.0243,30.93,1080000000.0,1.83,641.09,0.18,,70190000.0,30.64,30.94,2019-08-20 08:34:33.292665
30.68,-0.8,-0.0254,30.93,1080000000.0,1.83,641.09,0.18,,70190000.0,30.64,30.94,2019-08-20 08:34:55.174969
30.65,-0.8284,-0.0263,30.93,1080000000.0,1.83,641.09,0.18,,70190000.0,30.61,30.94,2019-08-20 08:35:16.495544
30.66,-0.825,-0.0262,30.93,1080000000.0,1.83,641.09,0.18,,70190000.0,30.61,30.94,2019-08-20 08:35:38.248711
30.63,-0.853,-0.0271,30.93,1080000000.0,1.83,641.09,0.18,,70190000.0,30.6,30.94,2019-08-20 08:35:59.957869
30.67,-0.81,-0.0257,30.93,1080000000.0,1.83,641.09,0.18,,70190000.0,30.6,30.94,2019-08-20 08:36:21.183683
30.75,-0.73,-0.0232,30.93,1080000000.0,1.83,641.09,0.18,,70190000.0,30.6,30.94,2019-08-20 08:36:42.482727
30.75,-0.73,-0.0232,30.93,1080000000.0,1.83,641.09,0.18,,70190000.0,30.6,30.94,2019-08-20 08:37:04.224826
30.77,-0.71,-0.0226,30.93,1080000000.0,1.83,641.09,0.18,,70190000.0,30.6,30.94,2019-08-20 08:37:29.731497
30.79,-0.69,-0.0219,30.93,1080000000.0,1.83,641.09,0.18,,70190000.0,30.6,30.94,2019-08-20 08:37:51.024495
30.87,-0.615,-0.0195,30.93,1080000000.0,1.83,641.09,0.18,,70190000.0,30.6,30.94,2019-08-20 08:38:12.020113
30.79,-0.69,-0.0219,30.93,1080000000.0,1.83,641.09,0.18,,70190000.0,30.6,30.94,2019-08-20 08:38:33.200664
30.73,-0.75,-0.0238,30.93,1080000000.0,1.83,641.09,0.18,,70190000.0,30.6,30.94,2019-08-20 08:38:54.510005
30.81,-0.67,-0.0213,30.93,1080000000.0,1.83,641.09,0.18,,70190000.0,30.6,30.94,2019-08-20 08:39:15.979865
30.8,-0.68,-0.0216,30.93,1080000000.0,1.83,641.09,0.18,,70190000.0,30.6,30.94,2019-08-20 08:39:38.812534
30.79,-0.6944,-0.0221,30.93,1080000000.0,1.83,641.09,0.18,,70190000.0,30.6,30.94,2019-08-20 08:40:00.100597
30.73,-0.75,-0.0238,30.93,1080000000.0,1.83,641.09,0.18,,70190000.0,30.6,30.94,2019-08-20 08:40:21.207839
30.68,-0.8001,-0.0254,30.93,1080000000.0,1.83,641.09,0.18,,70190000.0,30.6,30.94,2019-08-20 08:40:42.522099
30.65,-0.8301,-0.0264,30.93,1080000000.0,1.83,641.09,0.18,,70190000.0,30.6,30.94,2019-08-20 08:41:03.672587
30.63,-0.855,-0.0272,30.93,1080000000.0,1.83,641.09,0.18,,70190000.0,30.6,30.94,2019-08-20 08:41:24.984744
30.63,-0.8535,-0.0271,30.93,1080000000.0,1.83,641.09,0.18,,70190000.0,30.59,30.94,2019-08-20 08:41:46.053004
30.56,-0.92,-0.0292,30.93,1080000000.0,1.83,641.09,0.18,,70190000.0,30.58,30.94,2019-08-20 08:42:07.393815
30.52,-0.961,-0.0305,30.93,1080000000.0,1.83,641.09,0.18,,70190000.0,30.51,30.94,2019-08-20 08:42:28.892934
30.53,-0.9479,-0.0301,30.93,1080000000.0,1.83,641.09,0.18,,70190000.0,30.51,30.94,2019-08-20 08:42:50.206503
30.49,-0.99,-0.031400000000000004,30.93,1080000000.0,1.83,641.09,0.18,,70190000.0,30.45,30.94,2019-08-20 08:43:11.609781
30.52,-0.96,-0.0305,30.93,1080000000.0,1.83,641.09,0.18,,70190000.0,30.45,30.94,2019-08-20 08:43:32.952335
30.59,-0.8901,-0.0283,30.93,1080000000.0,1.83,641.09,0.18,,70190000.0,30.45,30.94,2019-08-20 08:43:54.149188
30.61,-0.87,-0.0276,30.93,1080000000.0,1.83,641.09,0.18,,70190000.0,30.45,30.94,2019-08-20 08:44:15.247020
30.67,-0.81,-0.0257,30.93,1080000000.0,1.83,641.09,0.18,,70190000.0,30.45,30.94,2019-08-20 08:44:36.219493
30.66,-0.8220000000000001,-0.0261,30.93,1080000000.0,1.83,641.09,0.18,,70190000.0,30.45,30.94,2019-08-20 08:44:57.355825
30.65,-0.83,-0.0264,30.94,1080000000.0,1.83,641.09,0.18,,70190000.0,30.45,30.95,2019-08-20 08:45:18.523254
30.61,-0.87,-0.0276,30.94,1080000000.0,1.83,641.09,0.18,,70190000.0,30.45,30.95,2019-08-20 08:45:39.418069
30.66,-0.82,-0.026,30.94,1080000000.0,1.83,641.09,0.18,,70190000.0,30.45,30.95,2019-08-20 08:46:00.157389
30.73,-0.755,-0.024,30.94,1080000000.0,1.83,641.09,0.18,,70190000.0,30.45,30.95,2019-08-20 08:46:21.107167
30.76,-0.72,-0.0229,30.94,1080000000.0,1.83,641.09,0.18,,70190000.0,30.45,30.95,2019-08-20 08:46:41.809863
30.72,-0.7562,-0.024,30.94,1080000000.0,1.83,641.09,0.18,,70190000.0,30.45,30.95,2019-08-20 08:47:02.991658
30.74,-0.7401,-0.0235,30.94,1080000000.0,1.83,641.09,0.18,,70190000.0,30.45,30.95,2019-08-20 08:47:24.149389
30.7,-0.78,-0.0248,30.94,1080000000.0,1.83,641.09,0.18,,70190000.0,30.45,30.95,2019-08-20 08:47:45.415395
30.7,-0.78,-0.0248,30.94,1080000000.0,1.83,641.09,0.18,,70190000.0,30.45,30.95,2019-08-20 08:48:06.802641
30.7,-0.78,-0.0248,30.94,1080000000.0,1.83,641.09,0.18,,70190000.0,30.45,30.95,2019-08-20 08:48:28.082619
30.68,-0.8,-0.0254,30.94,1080000000.0,1.83,641.09,0.18,,70190000.0,30.45,30.95,2019-08-20 08:48:51.714711
30.64,-0.845,-0.0268,30.94,1080000000.0,1.83,641.09,0.18,,70190000.0,30.45,30.95,2019-08-20 08:49:12.412215
