Price,Price Change,Price Percent Change,Open,Shares Outstanding,Beta,Rev. per Employee,EPS,Dividend,Average Volume,Day Range Low,Day Range High,Time
185.57,3.81,0.021,183.77,2410000000.0,1.19,1570000.0,5.9,,16700000.0,183.47,186.08,2019-08-30 08:30:15.190818
185.57,3.81,0.021,183.77,2410000000.0,1.19,1570000.0,5.9,,16700000.0,183.47,186.08,2019-08-30 08:30:37.088593
185.57,3.81,0.021,183.77,2410000000.0,1.19,1570000.0,5.9,,16700000.0,183.47,186.08,2019-08-30 08:30:59.219425
186.54,0.974,0.0052,186.79,2410000000.0,1.19,1570000.0,5.9,,16700000.0,186.41,186.8,2019-08-30 08:31:27.310967
186.15,0.58,0.0031,186.79,2410000000.0,1.19,1570000.0,5.9,,16700000.0,186.01,186.8,2019-08-30 08:32:00.353835
186.19,0.615,0.0033,186.79,2410000000.0,1.19,1570000.0,5.9,,16700000.0,186.01,186.8,2019-08-30 08:32:23.151887
185.98,0.41,0.0022,186.79,2410000000.0,1.19,1570000.0,5.9,,16700000.0,185.9,186.8,2019-08-30 08:32:45.545932
185.82,0.25,0.0013,186.79,2410000000.0,1.19,1570000.0,5.9,,16700000.0,185.81,186.8,2019-08-30 08:33:07.442199
185.84,0.2721,0.0015,186.79,2410000000.0,1.19,1570000.0,5.9,,16700000.0,185.81,186.8,2019-08-30 08:33:29.504951
185.95,0.38,0.002,186.79,2410000000.0,1.19,1570000.0,5.9,,16700000.0,185.81,186.8,2019-08-30 08:33:51.235272
185.89,0.32,0.0017,186.79,2410000000.0,1.19,1570000.0,5.9,,16700000.0,185.81,186.8,2019-08-30 08:34:13.536263
185.9,0.3325,0.0018,186.79,2410000000.0,1.19,1570000.0,5.9,,16700000.0,185.79,186.8,2019-08-30 08:34:35.942055
185.9,0.33,0.0018,186.79,2410000000.0,1.19,1570000.0,5.9,,16700000.0,185.79,186.8,2019-08-30 08:34:57.810636
185.7,0.1311,0.0007000000000000001,186.79,2410000000.0,1.19,1570000.0,5.9,,16700000.0,185.79,186.8,2019-08-30 08:35:19.148641
185.6,0.03,0.0002,186.79,2410000000.0,1.19,1570000.0,5.9,,16700000.0,185.58,186.8,2019-08-30 08:35:41.697260
185.67,0.1,0.0005,186.79,2410000000.0,1.19,1570000.0,5.9,,16700000.0,185.58,186.8,2019-08-30 08:36:03.401896
185.83,0.26,0.0014000000000000002,186.79,2410000000.0,1.19,1570000.0,5.9,,16700000.0,185.58,186.8,2019-08-30 08:36:26.082984
185.77,0.2,0.0011,186.79,2410000000.0,1.19,1570000.0,5.9,,16700000.0,185.58,186.8,2019-08-30 08:36:48.020268
185.76,0.19,0.001,186.79,2410000000.0,1.19,1570000.0,5.9,,16700000.0,185.58,186.8,2019-08-30 08:37:12.372240
185.76,0.19,0.001,186.79,2410000000.0,1.19,1570000.0,5.9,,16700000.0,185.58,186.8,2019-08-30 08:37:34.644142
185.8,0.23,0.0012,186.79,2410000000.0,1.19,1570000.0,5.9,,16700000.0,185.58,186.8,2019-08-30 08:37:56.778511
185.65,0.08,0.0004,186.79,2410000000.0,1.19,1570000.0,5.9,,16700000.0,185.58,186.8,2019-08-30 08:38:18.521703
185.74,0.165,0.0009,186.79,2410000000.0,1.19,1570000.0,5.9,,16700000.0,185.58,186.8,2019-08-30 08:38:39.986120
185.82,0.25,0.0013,186.79,2410000000.0,1.19,1570000.0,5.9,,16700000.0,185.58,186.8,2019-08-30 08:39:01.283394
185.94,0.37,0.002,186.79,2410000000.0,1.19,1570000.0,5.9,,16700000.0,185.58,186.8,2019-08-30 08:39:22.777254
185.82,0.25,0.0013,186.79,2410000000.0,1.19,1570000.0,5.9,,16700000.0,185.58,186.8,2019-08-30 08:39:44.384588
185.84,0.27,0.0015,186.79,2410000000.0,1.19,1570000.0,5.9,,16700000.0,185.58,186.8,2019-08-30 08:40:05.553580
185.87,0.3,0.0016,186.79,2410000000.0,1.19,1570000.0,5.9,,16700000.0,185.58,186.8,2019-08-30 08:40:27.163871
185.8,0.23,0.0012,186.79,2410000000.0,1.19,1570000.0,5.9,,16700000.0,185.58,186.8,2019-08-30 08:40:48.997106
185.66,0.09,0.0005,186.79,2410000000.0,1.19,1570000.0,5.9,,16700000.0,185.58,186.8,2019-08-30 08:41:10.803282
