Price,Price Change,Price Percent Change,Open,Shares Outstanding,Beta,Rev. per Employee,EPS,Dividend,Average Volume,Day Range Low,Day Range High,Time
7.97,-0.22,-0.0269,8.09,8720000000.0,0.97,429.74,-2.45,0.01,63380000.0,7.76,8.1,2019-08-26 08:30:17.990078
8.06,0.09,0.0113,8.06,8720000000.0,0.97,429.74,-2.45,0.01,63380000.0,8.04,8.07,2019-08-26 08:30:42.926372
8.08,0.105,0.0132,8.06,8720000000.0,0.97,429.74,-2.45,0.01,63380000.0,8.04,8.08,2019-08-26 08:31:05.444803
8.09,0.115,0.0144,8.06,8720000000.0,0.97,429.74,-2.45,0.01,63380000.0,8.04,8.09,2019-08-26 08:31:26.524174
8.09,0.12,0.0151,8.06,8720000000.0,0.97,429.74,-2.45,0.01,63380000.0,8.04,8.1,2019-08-26 08:31:48.200267
8.1,0.125,0.015700000000000002,8.06,8720000000.0,0.97,429.74,-2.45,0.01,63380000.0,8.04,8.1,2019-08-26 08:32:09.380469
8.1,0.1265,0.0159,8.06,8720000000.0,0.97,429.74,-2.45,0.01,63380000.0,8.04,8.1,2019-08-26 08:32:31.320841
8.08,0.1138,0.0143,8.06,8720000000.0,0.97,429.74,-2.45,0.01,63380000.0,8.04,8.1,2019-08-26 08:32:52.346763
8.05,0.0751,0.0094,8.06,8720000000.0,0.97,429.74,-2.45,0.01,63380000.0,8.04,8.1,2019-08-26 08:33:13.169050
8.05,0.0777,0.0097,8.06,8720000000.0,0.97,429.74,-2.45,0.01,63380000.0,8.04,8.1,2019-08-26 08:33:34.107681
8.02,0.045,0.005600000000000001,8.06,8720000000.0,0.97,429.74,-2.45,0.01,63380000.0,8.01,8.1,2019-08-26 08:33:55.245025
8.03,0.0649,0.008100000000000001,8.06,8720000000.0,0.97,429.74,-2.45,0.01,63380000.0,8.01,8.1,2019-08-26 08:34:15.634481
8.04,0.07,0.0088,8.06,8720000000.0,0.97,429.74,-2.45,0.01,63380000.0,8.01,8.1,2019-08-26 08:34:36.863719
