Price,Price Change,Price Percent Change,Open,Shares Outstanding,Beta,Rev. per Employee,EPS,Dividend,Average Volume,Day Range Low,Day Range High,Time
202.64,-9.82,-0.0462,209.43,4600000000.0,1.22,1980000.0,11.73,0.77,26020000.0,201.0,212.05,2019-08-26 08:30:13.077122
206.17,3.53,0.0174,205.96,4600000000.0,1.22,1980000.0,11.73,0.77,26020000.0,205.53,206.37,2019-08-26 08:30:34.975203
206.04,3.4,0.0168,205.96,4600000000.0,1.22,1980000.0,11.73,0.77,26020000.0,205.53,206.37,2019-08-26 08:30:59.096717
206.17,3.525,0.0174,205.96,4600000000.0,1.22,1980000.0,11.73,0.77,26020000.0,205.53,206.37,2019-08-26 08:31:21.435890
206.63,3.99,0.0197,205.96,4600000000.0,1.22,1980000.0,11.73,0.77,26020000.0,205.53,206.63,2019-08-26 08:31:42.713073
206.9,4.26,0.021,205.96,4600000000.0,1.22,1980000.0,11.73,0.77,26020000.0,205.53,206.86,2019-08-26 08:32:04.350803
206.92,4.28,0.0211,205.96,4600000000.0,1.22,1980000.0,11.73,0.77,26020000.0,205.53,206.98,2019-08-26 08:32:25.843224
206.75,4.11,0.0203,205.96,4600000000.0,1.22,1980000.0,11.73,0.77,26020000.0,205.53,206.98,2019-08-26 08:32:47.300709
206.81,4.1715,0.0206,205.96,4600000000.0,1.22,1980000.0,11.73,0.77,26020000.0,205.53,206.98,2019-08-26 08:33:08.254486
206.68,4.038,0.0199,205.96,4600000000.0,1.22,1980000.0,11.73,0.77,26020000.0,205.53,206.98,2019-08-26 08:33:29.248519
206.39,3.75,0.018500000000000003,205.96,4600000000.0,1.22,1980000.0,11.73,0.77,26020000.0,205.53,206.98,2019-08-26 08:33:50.209189
206.81,4.1701,0.0206,205.96,4600000000.0,1.22,1980000.0,11.73,0.77,26020000.0,205.53,206.98,2019-08-26 08:34:11.215056
206.66,4.0247,0.0199,205.96,4600000000.0,1.22,1980000.0,11.73,0.77,26020000.0,205.53,206.98,2019-08-26 08:34:31.516096
206.64,4.0,0.0197,205.96,4600000000.0,1.22,1980000.0,11.73,0.77,26020000.0,205.53,206.98,2019-08-26 08:34:53.058163
206.82,4.18,0.0206,205.96,4600000000.0,1.22,1980000.0,11.73,0.77,26020000.0,205.53,206.98,2019-08-26 08:35:14.519099
