Price,Price Change,Price Percent Change,Open,Shares Outstanding,Beta,Rev. per Employee,EPS,Dividend,Average Volume,Day Range Low,Day Range High,Time
8.1,-0.09,-0.011000000000000001,8.18,8720000000.0,0.97,429.74,-2.45,0.01,62270000.0,8.11,8.31,2019-08-23 08:30:14.165239
8.05,-0.14,-0.0171,8.18,8720000000.0,0.97,429.74,-2.45,0.01,62270000.0,8.11,8.31,2019-08-23 08:30:35.255625
8.19,0.03,0.0037,8.18,8720000000.0,0.97,429.74,-2.45,0.01,62270000.0,8.11,8.31,2019-08-23 08:30:56.727019
8.02,-0.17,-0.0208,8.08,8720000000.0,0.97,429.74,-2.45,0.01,62270000.0,8.02,8.08,2019-08-23 08:31:17.820970
8.01,-0.18,-0.022000000000000002,8.08,8720000000.0,0.97,429.74,-2.45,0.01,62270000.0,7.99,8.08,2019-08-23 08:31:39.380947
7.96,-0.23,-0.0281,8.08,8720000000.0,0.97,429.74,-2.45,0.01,62270000.0,7.96,8.08,2019-08-23 08:32:00.670528
7.94,-0.25,-0.0305,8.08,8720000000.0,0.97,429.74,-2.45,0.01,62270000.0,7.92,8.08,2019-08-23 08:32:22.200008
7.97,-0.22,-0.0269,8.08,8720000000.0,0.97,429.74,-2.45,0.01,62270000.0,7.92,8.08,2019-08-23 08:32:43.961268
7.97,-0.2236,-0.0273,8.08,8720000000.0,0.97,429.74,-2.45,0.01,62270000.0,7.92,8.08,2019-08-23 08:33:05.890400
7.98,-0.21,-0.0256,8.08,8720000000.0,0.97,429.74,-2.45,0.01,62270000.0,7.92,8.08,2019-08-23 08:33:26.957068
7.98,-0.2135,-0.0261,8.08,8720000000.0,0.97,429.74,-2.45,0.01,62270000.0,7.92,8.08,2019-08-23 08:33:48.595565
7.96,-0.23,-0.0281,8.08,8720000000.0,0.97,429.74,-2.45,0.01,62270000.0,7.92,8.08,2019-08-23 08:34:09.870842
7.97,-0.22,-0.0269,8.08,8720000000.0,0.97,429.74,-2.45,0.01,62270000.0,7.92,8.08,2019-08-23 08:34:31.261148
7.97,-0.22,-0.0269,8.08,8720000000.0,0.97,429.74,-2.45,0.01,62270000.0,7.92,8.08,2019-08-23 08:34:52.344821
7.96,-0.235,-0.0287,8.08,8720000000.0,0.97,429.74,-2.45,0.01,62270000.0,7.92,8.08,2019-08-23 08:35:13.247963
7.94,-0.25,-0.0305,8.08,8720000000.0,0.97,429.74,-2.45,0.01,62270000.0,7.92,8.08,2019-08-23 08:35:34.345777
7.95,-0.245,-0.029900000000000006,8.08,8720000000.0,0.97,429.74,-2.45,0.01,62270000.0,7.92,8.08,2019-08-23 08:35:55.426915
7.93,-0.2568,-0.031400000000000004,8.08,8720000000.0,0.97,429.74,-2.45,0.01,62270000.0,7.92,8.08,2019-08-23 08:36:16.497571
7.93,-0.2636,-0.0322,8.08,8720000000.0,0.97,429.74,-2.45,0.01,62270000.0,7.92,8.08,2019-08-23 08:36:37.463725
7.92,-0.2701,-0.033,8.08,8720000000.0,0.97,429.74,-2.45,0.01,62270000.0,7.9,8.08,2019-08-23 08:36:58.647326
7.94,-0.25,-0.0305,8.08,8720000000.0,0.97,429.74,-2.45,0.01,62270000.0,7.9,8.08,2019-08-23 08:37:19.689821
7.96,-0.235,-0.0287,8.08,8720000000.0,0.97,429.74,-2.45,0.01,62270000.0,7.9,8.08,2019-08-23 08:37:41.905787
7.96,-0.2319,-0.0283,8.08,8720000000.0,0.97,429.74,-2.45,0.01,62270000.0,7.9,8.08,2019-08-23 08:38:02.486843
7.96,-0.235,-0.0287,8.08,8720000000.0,0.97,429.74,-2.45,0.01,62270000.0,7.9,8.08,2019-08-23 08:38:23.397010
7.96,-0.2337,-0.0285,8.08,8720000000.0,0.97,429.74,-2.45,0.01,62270000.0,7.9,8.08,2019-08-23 08:38:44.685498
7.96,-0.23,-0.0281,8.08,8720000000.0,0.97,429.74,-2.45,0.01,62270000.0,7.9,8.08,2019-08-23 08:39:06.172248
7.98,-0.21,-0.0256,8.08,8720000000.0,0.97,429.74,-2.45,0.01,62270000.0,7.9,8.08,2019-08-23 08:39:26.972366
7.99,-0.2036,-0.0249,8.08,8720000000.0,0.97,429.74,-2.45,0.01,62270000.0,7.9,8.08,2019-08-23 08:39:47.720916
7.97,-0.22,-0.0269,8.08,8720000000.0,0.97,429.74,-2.45,0.01,62270000.0,7.9,8.08,2019-08-23 08:40:08.344340
7.97,-0.2163,-0.0264,8.08,8720000000.0,0.97,429.74,-2.45,0.01,62270000.0,7.9,8.08,2019-08-23 08:40:29.071905
7.98,-0.21,-0.0256,8.08,8720000000.0,0.97,429.74,-2.45,0.01,62270000.0,7.9,8.08,2019-08-23 08:40:49.854406
7.97,-0.225,-0.0275,8.08,8720000000.0,0.97,429.74,-2.45,0.01,62270000.0,7.9,8.08,2019-08-23 08:41:10.581342
7.96,-0.2348,-0.0287,8.08,8720000000.0,0.97,429.74,-2.45,0.01,62270000.0,7.9,8.08,2019-08-23 08:41:31.258783
7.96,-0.23,-0.0281,8.08,8720000000.0,0.97,429.74,-2.45,0.01,62270000.0,7.9,8.08,2019-08-23 08:41:52.196768
