Price,Price Change,Price Percent Change,Open,Shares Outstanding,Beta,Rev. per Employee,EPS,Dividend,Average Volume,Day Range Low,Day Range High,Time
212.83,1.43,0.0068000000000000005,213.27,179130000.0,1.3,439.63,-3.84,,8850000.0,212.5,213.4,2019-08-26 08:30:13.965990
211.4,-10.75,-0.0484,219.97,179130000.0,1.3,439.63,-3.84,,8850000.0,211.0,221.17,2019-08-26 08:30:36.718700
211.4,-10.75,-0.0484,219.97,179130000.0,1.3,439.63,-3.84,,8850000.0,211.0,221.17,2019-08-26 08:31:00.267352
213.0,1.6,0.0076,219.97,179130000.0,1.3,439.63,-3.84,,8850000.0,211.0,221.17,2019-08-26 08:31:22.400799
213.35,1.95,0.0092,213.27,179130000.0,1.3,439.63,-3.84,,8850000.0,212.25,213.93,2019-08-26 08:31:43.777647
214.2,2.8,0.0132,213.27,179130000.0,1.3,439.63,-3.84,,8850000.0,212.25,214.2,2019-08-26 08:32:05.177132
214.73,3.33,0.0158,213.27,179130000.0,1.3,439.63,-3.84,,8850000.0,212.25,214.73,2019-08-26 08:32:26.901048
214.03,2.63,0.0124,213.27,179130000.0,1.3,439.63,-3.84,,8850000.0,212.25,214.77,2019-08-26 08:32:48.368322
213.39,1.9856,0.0094,213.27,179130000.0,1.3,439.63,-3.84,,8850000.0,212.25,214.77,2019-08-26 08:33:09.325233
213.36,1.9599,0.0093,213.27,179130000.0,1.3,439.63,-3.84,,8850000.0,212.25,214.77,2019-08-26 08:33:30.162954
212.63,1.23,0.0058,213.27,179130000.0,1.3,439.63,-3.84,,8850000.0,212.25,214.77,2019-08-26 08:33:51.108369
212.77,1.3706,0.006500000000000001,213.27,179130000.0,1.3,439.63,-3.84,,8850000.0,212.25,214.77,2019-08-26 08:34:12.115377
212.0,0.6,0.0028000000000000004,213.27,179130000.0,1.3,439.63,-3.84,,8850000.0,212.0,214.77,2019-08-26 08:34:32.503680
212.22,0.823,0.0039,213.27,179130000.0,1.3,439.63,-3.84,,8850000.0,211.89,214.77,2019-08-26 08:34:54.178845
212.18,0.78,0.0037,213.27,179130000.0,1.3,439.63,-3.84,,8850000.0,211.83,214.77,2019-08-26 08:35:16.029236
212.2,0.7985,0.0038,213.27,179130000.0,1.3,439.63,-3.84,,8850000.0,211.83,214.77,2019-08-26 08:35:36.899035
212.44,1.04,0.0049,213.27,179130000.0,1.3,439.63,-3.84,,8850000.0,211.83,214.77,2019-08-26 08:35:57.887331
212.45,1.05,0.005,213.27,179130000.0,1.3,439.63,-3.84,,8850000.0,211.83,214.77,2019-08-26 08:36:18.997818
212.77,1.37,0.006500000000000001,213.27,179130000.0,1.3,439.63,-3.84,,8850000.0,211.83,214.77,2019-08-26 08:36:40.858821
212.98,1.58,0.0075,213.27,179130000.0,1.3,439.63,-3.84,,8850000.0,211.83,214.77,2019-08-26 08:37:01.958832
212.62,1.22,0.0058,213.27,179130000.0,1.3,439.63,-3.84,,8850000.0,211.83,214.77,2019-08-26 08:37:24.828431
212.57,1.17,0.0055000000000000005,213.27,179130000.0,1.3,439.63,-3.84,,8850000.0,211.83,214.77,2019-08-26 08:37:46.463005
212.45,1.05,0.005,213.27,179130000.0,1.3,439.63,-3.84,,8850000.0,211.83,214.77,2019-08-26 08:38:07.462425
212.44,1.0398,0.0049,213.27,179130000.0,1.3,439.63,-3.84,,8850000.0,211.83,214.77,2019-08-26 08:38:28.846205
212.47,1.07,0.0051,213.27,179130000.0,1.3,439.63,-3.84,,8850000.0,211.83,214.77,2019-08-26 08:38:50.122006
212.46,1.06,0.005,213.27,179130000.0,1.3,439.63,-3.84,,8850000.0,211.83,214.77,2019-08-26 08:39:11.637678
212.62,1.2162,0.0058,213.27,179130000.0,1.3,439.63,-3.84,,8850000.0,211.83,214.77,2019-08-26 08:39:32.881413
212.81,1.41,0.0067,213.27,179130000.0,1.3,439.63,-3.84,,8850000.0,211.83,214.77,2019-08-26 08:39:53.951278
212.53,1.13,0.0053,213.27,179130000.0,1.3,439.63,-3.84,,8850000.0,211.83,214.77,2019-08-26 08:40:14.836021
212.94,1.5414,0.0073,213.27,179130000.0,1.3,439.63,-3.84,,8850000.0,211.83,214.77,2019-08-26 08:40:35.991699
212.87,1.47,0.006999999999999999,213.27,179130000.0,1.3,439.63,-3.84,,8850000.0,211.83,214.77,2019-08-26 08:40:57.419515
213.07,1.6680000000000001,0.0079,213.27,179130000.0,1.3,439.63,-3.84,,8850000.0,211.83,214.77,2019-08-26 08:41:18.428731
213.2,1.8,0.0085,213.27,179130000.0,1.3,439.63,-3.84,,8850000.0,211.83,214.77,2019-08-26 08:41:39.330863
213.52,2.12,0.01,213.27,179130000.0,1.3,439.63,-3.84,,8850000.0,211.83,214.77,2019-08-26 08:42:00.400760
213.69,2.29,0.0108,213.27,179130000.0,1.3,439.63,-3.84,,8850000.0,211.83,214.77,2019-08-26 08:42:21.734435
213.74,2.3378,0.0111,213.27,179130000.0,1.3,439.63,-3.84,,8850000.0,211.83,214.77,2019-08-26 08:42:43.013760
213.59,2.19,0.0104,213.27,179130000.0,1.3,439.63,-3.84,,8850000.0,211.83,214.77,2019-08-26 08:43:03.914911
213.58,2.18,0.0103,213.27,179130000.0,1.3,439.63,-3.84,,8850000.0,211.83,214.77,2019-08-26 08:43:25.636066
213.4,2.0,0.0095,213.27,179130000.0,1.3,439.63,-3.84,,8850000.0,211.83,214.77,2019-08-26 08:43:46.645877
213.45,2.05,0.0097,213.27,179130000.0,1.3,439.63,-3.84,,8850000.0,211.83,214.77,2019-08-26 08:44:07.921416
213.21,1.81,0.0086,213.27,179130000.0,1.3,439.63,-3.84,,8850000.0,211.83,214.77,2019-08-26 08:44:28.683604
213.16,1.76,0.0083,213.27,179130000.0,1.3,439.63,-3.84,,8850000.0,211.83,214.77,2019-08-26 08:44:49.978706
213.42,2.02,0.0096,213.6,179130000.0,1.3,439.63,-3.84,,8850000.0,211.83,214.77,2019-08-26 08:45:10.779882
213.48,2.08,0.0098,213.6,179130000.0,1.3,439.63,-3.84,,8850000.0,211.83,214.77,2019-08-26 08:45:31.913608
213.45,2.05,0.0097,213.6,179130000.0,1.3,439.63,-3.84,,8850000.0,211.83,214.77,2019-08-26 08:45:55.224399
213.3,1.9,0.009000000000000001,213.6,179130000.0,1.3,439.63,-3.84,,8850000.0,211.83,214.77,2019-08-26 08:46:16.970978
213.12,1.72,0.008100000000000001,213.6,179130000.0,1.3,439.63,-3.84,,8850000.0,211.83,214.77,2019-08-26 08:46:38.225656
213.27,1.87,0.0088,213.6,179130000.0,1.3,439.63,-3.84,,8850000.0,211.83,214.77,2019-08-26 08:46:59.538943
213.33,1.9349,0.0092,213.6,179130000.0,1.3,439.63,-3.84,,8850000.0,211.83,214.77,2019-08-26 08:47:21.600613
213.04,1.64,0.0078,213.6,179130000.0,1.3,439.63,-3.84,,8850000.0,211.83,214.77,2019-08-26 08:47:42.971874
212.84,1.4405,0.0068000000000000005,213.6,179130000.0,1.3,439.63,-3.84,,8850000.0,211.83,214.77,2019-08-26 08:48:04.669408
212.82,1.4198,0.0067,213.6,179130000.0,1.3,439.63,-3.84,,8850000.0,211.83,214.77,2019-08-26 08:48:25.828094
212.73,1.33,0.0063,213.6,179130000.0,1.3,439.63,-3.84,,8850000.0,211.83,214.77,2019-08-26 08:48:47.389851
